track,tempo,score
Caramelo,134.058,6.89099979400635
"Te Busco (feat. Nicky Jam)",88.95,5.49300003051758
"Bon Voyage",116.938,7.00600004196167
Krantenwijk,120.014,7.3769998550415
Ahnma,80.881,7.00600004196167
"İhanetten Geri Kalan",174.015,5.5
Blau,96.051,7.00600004196167
"Meet Me in the Hallway",104.252,5.22700023651123
"Wake N Bake",102.466,5.19500017166138
"El Sistema Solar (En Vivo)",123.047,5.49300003051758
Baby,122.051,6.71400022506714
Cazal,89.863,7.00600004196167
Tastamam,89.99,5.5
Breathing,102.994,6.89099979400635
"Rabetão",86.534,5.49300003051758
"Marmalade (feat. Lil Yachty)",136.043,7.28399991989136
"Decembernatt (Halleluja)",94.583,7.28399991989136
"Ceylan - Kıvanch K Versiyon",108.012,5.5
Vuelve,130.023,5.49300003051758
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",117.955,5.49300003051758
"Shaky Shaky",88.007,5.49300003051758
Miracle,172.516,5.92000007629395
"Berakhirlah Sudah",149.975,6.08400011062622
"Bust Down",73.001,7.31599998474121
"Patte fließt",92.851,7.00600004196167
"Mayor Que Yo",95.964,6.4539999961853
"Bir Elmanın Yarısı",100.048,5.5
"No Quiero Amores",182.184,6.35699987411499
"20 Min",123.426,6.99300003051758
"No Complaints",123.956,5.22700023651123
"The Man With The Bag",70.057,5.22700023651123
"Gece Gölgenin Rahatına Bak",100.962,5.5
"No Favors / 5000",106.036,7.52199983596802
"Más Que Ayer",89.985,5.49300003051758
"Encantadora - Remix",169.98,5.49300003051758
"911 / Mr. Lonely",90.034,7.28399991989136
Montpellier,107.937,7.00600004196167
"Feel The Love (feat. John Newman)",179.911,6.71400022506714
"Golden Touch - Full Length",95.315,6.71400022506714
"História",96.021,5.19500017166138
"どこまでも ~How Far I'll Go~(エンドソング)",90.816,5.92000007629395
"Desert Eagle",105.062,7.00600004196167
"Kaktüs",92.011,5.5
"Que Sorte A Nossa - Live",95.034,6.63500022888184
"To You",130.033,5.5
"Borro Cassette",175.95,5.49300003051758
"From The D To The A (feat. Lil Yachty)",99.061,6.99300003051758
"Show Me How to Live",89.4,7.28399991989136
"Tuba Life",152.18,6.89099979400635
Vienna,109.189,7.00600004196167
"De Ved Godt",119.975,7.52199983596802
Sing,119.988,7.28399991989136
"Zeit ist Geld",89.966,7.00600004196167
"Tudo de Bom",129.995,6.63500022888184
"MMMBop - Single Version",104.833,6.71400022506714
"Leiðin okkar allra",135.937,7.50400018692017
"春の虹",134.941,5.92000007629395
"La Cómplice",93.979,6.35699987411499
"Always This Way",155.739,6.71400022506714
